|Name|Genre|Description|Duration|ContentRating|Rating
32|Gisaengchung|Drama, Thriller|Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.|PT2H12M|R|8.5
33|Psycho|Horror, Mystery, Thriller|A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.|PT1H49M|R|8.5
34|Gladiator|Action, Adventure, Drama|A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.|PT2H35M|R|8.5
35|The Lion King|Animation, Adventure, Drama|Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.|PT1H28M|G|8.5
36|Spider-Man: Across the Spider-Verse|Animation, Action, Adventure|Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...|PT2H20M|PG|8.6
37|The Departed|Crime, Drama, Thriller|An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.|PT2H31M|R|8.5
38|Whiplash|Drama, Music|A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.|PT1H46M|R|8.5
39|American History X|Crime, Drama|Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...|PT1H59M|R|8.5
40|Léon|Action, Crime, Drama|12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade.|PT1H50M|R|8.5
41|Hotaru no haka|Animation, Drama, War|A young boy and his little sister struggle to survive in Japan during World War II.|PT1H28M|Not Rated|8.5
42|The Prestige|Drama, Mystery, Sci-Fi|After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.|PT2H10M|PG-13|8.5
43|Seppuku|Action, Drama, Mystery|When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.|PT2H13M|Not Rated|8.6
44|Dune: Part Two|Action, Adventure, Drama|Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.|PT2H46M|PG-13|8.5
45|The Usual Suspects|Crime, Drama, Mystery|The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.|PT1H46M|R|8.5
46|Casablanca|Drama, Romance, War|A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.|PT1H42M|PG|8.5
47|Intouchables|Comedy, Drama|After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.|PT1H52M|R|8.5
